模型名称：数据导出
合约名称：IF下月  
测试时间：2014-05-23 -- 2014-07-04
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.00‰
----------------------------------
  测试天数：		42		  测试周期数：	8000
  指令总数：		8000		  平均交易周期：1
  初始资金：		100000		  最终权益：	76602
  总收益率(盈利/初始资金)：	-23.40%	  盈利：	-23397.97
  扣除最大盈利后收益率：	-27.90%
  扣除最大亏损后收益率：	-21.18%

  可靠性(胜率)：	55.38%		  成交额：	10291701760
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		8000		
  盈利次数比例：	43.80%		  亏损次数比例：	44.61%
  平均利润率：		-0.00%		  平均每次盈利：	-3
  标准离差率：		-10178.8%		  标准离差：		297.71
  多头次数：		4000		  空头次数：		3999
  多头盈利次数：	1724		  空头盈利次数：	1780

  盈利次数：		3504		  亏损次数：	3569
  总盈利：		813128(813.13%)	  总亏损：	-836526(-836.53%)
  平均盈利率：		282(0.28%)	  平均亏损率：	-283(-0.28%)
  最大盈利额：		4500(4.72%)	  最大亏损额：	-2220(-2.60%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	14		  最大连续亏损次数：	11
  最大连续盈利：	4560(4.79%)	  最大连续亏损：	-3660(-4.06%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20140523 14:08	2119.0	多头	20140523 14:09	2121.6	1	0.00	780	780.0	101980.7	正常
20140523 14:09	2121.6	空头	20140523 14:10	2120.6	1	0.00	300	300.0	102280.7	正常
20140523 14:10	2120.6	多头	20140523 14:11	2119.4	1	0.00	-360	-360.1	101920.7	正常
20140523 14:11	2119.4	空头	20140523 14:12	2120.2	1	0.00	-240	-240.0	101680.7	正常
20140523 14:12	2120.2	多头	20140523 14:13	2119.0	1	0.00	-360	-360.0	101320.7	正常
20140523 14:13	2119.0	空头	20140523 14:14	2120.6	1	0.00	-480	-480.0	100840.6	正常
20140523 14:14	2120.6	多头	20140523 14:15	2120.2	1	0.00	-120	-120.0	100720.6	正常
20140523 14:15	2120.2	空头	20140523 14:16	2120.2	1	0.00	0	0.0	100720.6	正常
20140523 14:16	2120.2	多头	20140523 14:17	2118.4	1	0.00	-540	-540.0	100180.6	正常
20140523 14:17	2118.4	空头	20140523 14:18	2119.2	1	0.00	-240	-240.0	99940.6	正常
20140523 14:18	2119.2	多头	20140523 14:19	2118.6	1	0.00	-180	-180.0	99760.6	正常
20140523 14:19	2118.6	空头	20140523 14:20	2117.4	1	0.00	360	360.1	100120.7	正常
20140523 14:20	2117.4	多头	20140523 14:21	2116.0	1	0.00	-420	-420.0	99700.7	正常
20140523 14:21	2116.0	空头	20140523 14:22	2118.0	1	0.00	-600	-600.0	99100.7	正常
20140523 14:22	2118.0	多头	20140523 14:23	2115.8	1	0.00	-660	-660.0	98440.7	正常
20140523 14:23	2115.8	空头	20140523 14:24	2116.4	1	0.00	-180	-180.0	98260.8	正常
20140523 14:24	2116.4	多头	20140523 14:25	2117.0	1	0.00	180	180.0	98440.8	正常
20140523 14:25	2117.0	空头	20140523 14:26	2116.6	1	0.00	120	120.0	98560.8	正常
20140523 14:26	2116.6	多头	20140523 14:27	2117.8	1	0.00	360	360.0	98920.8	正常
20140523 14:27	2117.8	空头	20140523 14:28	2120.2	1	0.00	-720	-720.0	98200.8	正常
20140523 14:28	2120.2	多头	20140523 14:29	2120.0	1	0.00	-60	-60.0	98140.8	正常
20140523 14:29	2120.0	空头	20140523 14:30	2118.6	1	0.00	420	420.0	98560.8	正常
20140523 14:30	2118.6	多头	20140523 14:31	2118.6	1	0.00	0	0.0	98560.8	正常
20140523 14:31	2118.6	空头	20140523 14:32	2118.4	1	0.00	60	60.1	98620.8	正常
20140523 14:32	2118.4	多头	20140523 14:33	2117.8	1	0.00	-180	-180.0	98440.9	正常
20140523 14:33	2117.8	空头	20140523 14:34	2120.8	1	0.00	-900	-900.0	97540.9	正常
20140523 14:34	2120.8	多头	20140523 14:35	2120.6	1	0.00	-60	-60.0	97480.9	正常
20140523 14:35	2120.6	空头	20140523 14:36	2120.6	1	0.00	0	0.0	97480.9	正常
20140523 14:36	2120.6	多头	20140523 14:37	2120.2	1	0.00	-120	-120.0	97360.8	正常
20140523 14:37	2120.2	空头	20140523 14:38	2120.2	1	0.00	0	0.0	97360.8	正常
20140523 14:38	2120.2	多头	20140523 14:39	2121.4	1	0.00	360	360.0	97720.8	正常
20140523 14:39	2121.4	空头	20140523 14:40	2121.4	1	0.00	0	0.0	97720.8	正常
20140523 14:40	2121.4	多头	20140523 14:41	2122.6	1	0.00	360	360.1	98080.9	正常
20140523 14:41	2122.6	空头	20140523 14:42	2121.6	1	0.00	300	300.0	98380.9	正常
